"from","to","n_times"
"Harden, Meghan","Aguilar, Sierra",22
"Crowder, Tevis","Aguilar, Sierra",10
"Parker, Brittany","Madison, Maha",12
"Parker, Brittany","Pregnon, Eilish",20
"Pregnon, Eilish","Madison, Maha",10
"Xiong, Kara","Fernandez, Kirstie",7
"Fernandez, Kirstie","Agboglo, Joseph",4
"Xiong, Kara","Agboglo, Joseph",14
"Dunigan, Justin","Metts, Tia Shaye",9
"Lee, Kevin","Chang, Vineet",27
"Lee, Kevin","Rodriguez-Gomez, Courtney",12
"Lee, Kevin","al-Neman, Saamiqa",5
"Lee, Kevin","Hinze, Jordan",3
"Rodriguez-Gomez, Courtney","Chang, Vineet",11
"Chang, Vineet","al-Neman, Saamiqa",2
"Hinze, Jordan","Chang, Vineet",1
"Rodriguez-Gomez, Courtney","al-Neman, Saamiqa",21
"Hinze, Jordan","al-Neman, Saamiqa",2
"Armas, Alaina","Caballero Ortiz, Orlando",74
"Caballero Ortiz, Orlando","Kovacs, Aaron",177
"King, Lucy","Jay, Jordon",20
"Chen, Rohan","al-Safi, Saalim",66
"Mckinney, Autumn","al-Safi, Saalim",35
"Fierro, Elexis","al-Akel, Husniyya",2
"Dintaman, Samuel","el-Arshad, Aatifa",23
"De Fiore, Matthew","Cranfill, Ryvon",11
"Whitlock, Alexandra","Torres, Victoria",69
"Whitlock, Alexandra","Lowe, Aaron",78
"Torres, Victoria","Lowe, Aaron",108
"Wilford, Patrick","Elliott, Hilario",88
"Walters, Veronica","Barree, Olivia",73
"Ware, Renee","Barree, Olivia",69
"Barree, Olivia","Ross, Nichol",46
"Walters, Veronica","Ware, Renee",13
"Walters, Veronica","Ross, Nichol",22
"Cardoza, Taylor","el-Massoud, Irfaan",31
"Granados Ordonez, Jovani","el-Massoud, Irfaan",12
"Madole, Colton","Granados Ordonez, Jovani",20
"Cardoza, Taylor","Granados Ordonez, Jovani",6
"Giusto, Kayla","Hoffman, Vionna",5
"Berger, Alexandria","Hoffman, Vionna",5
"Berger, Alexandria","Garcia, Rocio",8
"Garcia, Rocio","Hoffman, Vionna",1
"Bhatt, Savannah","Hammer, Chandra",27
"Gamboa, Destiny","Nguyen, Kia",1
"Fujinami, Alex","Skender, Christopher",4
"Price, Bria","Skender, Christopher",3
"Price, Bria","Fujinami, Alex",5
"Chapa, Austin","Skender, Christopher",3
"Chapa, Austin","Fujinami, Alex",51
"Price, Bria","Chapa, Austin",15
"el-Kalil, Ihaab","Skender, Christopher",3
"el-Kalil, Ihaab","Fujinami, Alex",4
"Price, Bria","el-Kalil, Ihaab",7
"el-Kalil, Ihaab","Chapa, Austin",31
"Kascak, Chau","Yu, Steffany",27
"Scott, Ruth","Adolpho-Rivera, Elijah",23
"Adolpho-Rivera, Elijah","David, Cynthia",5
"Scott, Ruth","Tran, Stephen",11
"David, Cynthia","Tran, Stephen",3
"David, Cynthia","al-Fayad, Azza",3
"al-Fayad, Azza","Tran, Stephen",48
"Scott, Ruth","al-Fayad, Azza",2
"Jose, Jhana","el-Azad, Hawraa",15
"Collom, Ryan","Jose, Jhana",1
"Jose, Jhana","Lowe, Tyler",1
"Parker, Destiny","Debalski, Gianna",46
"Parker, Destiny","Zheng, Varun",110
"Zheng, Varun","Debalski, Gianna",11
"Metts, Tia Shaye","Cole, Alundra",35
"Giltner, Malcolm","Myers, Shkhelley",8
"Starcer, Lance","al-Masood, Abdul Haadi",11
"Dawson, Joshua","al-Wakim, Aseel",2
"Brewer, Dylan","al-Wakim, Aseel",1
"al-Mohamed, Ghazaala","Lee, Tony",19
"Wilford, Patrick","Cotton, Morganne",24
"Booker, Aujanair","Krason, Austen",4
"Hoffman, Vionna","al-Kamal, Haamida",9
"Gonzalez, Dylan","al-Kamal, Haamida",18
"Gonzalez, Dylan","Hoffman, Vionna",8
"al-Shams, Daamir","al-Kamal, Haamida",19
"al-Shams, Daamir","Hoffman, Vionna",6
"el-Mohamed, Shukri","Kocsis, Qin Qin",4
"Bilal, Kayla","Johnson, Stetson",1
"al-Younis, Maazin","Bilal, Kayla",1
"Breakall, Ashlyn","Bilal, Kayla",1
"Breakall, Ashlyn","Johnson, Stetson",1
"al-Younis, Maazin","Breakall, Ashlyn",1
"al-Younis, Maazin","Johnson, Stetson",4
"Harris, Tysza","Skaggs, Gage",2
"Edmondson, Allison","Harris, Tysza",19
"Edmondson, Allison","Skaggs, Gage",2
"Vargas, Zachery","Skaggs, Gage",12
"Vargas, Zachery","Edmondson, Allison",48
"Bille, Ashley","el-Shah, Turki",23
"Hamilton, Jackie","Curtice, Jeremiah",5
"Jordan, Nicholas","Curtice, Jeremiah",31
"Jordan, Nicholas","Hamilton, Jackie",3
"Farley, Anissa","Banks, Jordan",1
"Tran, Cole","Medina, Mario",10
"al-Assad, Sadoon","al-Wakim, Aseel",24
"Vigil, Megan","Trammell, Deandre",48
"Brainard, Shayla","Salomon, Nancy",4
"Awtrey, Benjamin","Moquino, Delray",7
"Hernandez, Leilani","Hoang, Braydon",24
"Cotton, Morganne","Nosker, Desiree",9
"Chapa, Austin","Cotton, Morganne",6
"Chapa, Austin","Nosker, Desiree",176
"Chapa, Austin","Fenton, Kyle",21
"Torres, Jackline","Cotton, Morganne",35
"Chapa, Austin","Torres, Jackline",4
"Torres, Jackline","Nosker, Desiree",2
"Fenton, Kyle","Torres, Jackline",13
"Wilford, Patrick","Nosker, Desiree",3
"Wilford, Patrick","Torres, Jackline",26
"Fenton, Kyle","Nosker, Desiree",12
"Nelson, Brandon","Ahsan, Rohith",2
"Lowe, Tyler","Cartwright, Jymmetta",2
"Lowe, Tyler","Ricks, Sky",2
"Ricks, Sky","Cartwright, Jymmetta",7
"Lowe, Tyler","Arvelo, Marissa",1
"Ricks, Sky","Arvelo, Marissa",2
"Arvelo, Marissa","Cartwright, Jymmetta",7
"Edmondson, Allison","Arvelo, Marissa",10
"Edmondson, Allison","Lowe, Tyler",13
"Edmondson, Allison","Cartwright, Jymmetta",42
"Liddle, Kenrick","Lowe, Tyler",2
"Liddle, Kenrick","Ricks, Sky",2
"Liddle, Kenrick","Arvelo, Marissa",6
"Liddle, Kenrick","Cartwright, Jymmetta",4
"Liddle, Kenrick","Edmondson, Allison",6
"Ortiz, Jesse","Lawrence, Kassandra",41
"Johns, Denisse","Aguilar, Larissa",37
"el-Zahra, Daleel","Two Crow-Lee, Joey",9
"Two Crow-Lee, Joey","Locust, Arlene",3
"el-Zahra, Daleel","Locust, Arlene",5
"Two Crow-Lee, Joey","Murillo, Joshua",10
"el-Zahra, Daleel","Murillo, Joshua",23
"Murillo, Joshua","Locust, Arlene",5
"Brown, Ahmear","Nemmers, Nathan",67
"el-Madani, Imraan","Nemmers, Nathan",11
"Mcalister, Austin","el-Ally, Naqaa",3
"Brehm, Oheo","el-Ally, Naqaa",49
"Richardson, Abdullahi","el-Ramin, Abdul Khaliq",2
"el-Ramin, Abdul Khaliq","el-Ayub, Haarith",2
"Hess, Dean","el-Ramin, Abdul Khaliq",2
"Murphy, Carrie","Bhatt, Savannah",28
"al-Eid, Faalih","Madole, Colton",18
"Dean, Sydney","al-Farhat, Shaahida",44
"Mansaray, Rachel","al-Farhat, Shaahida",5
"al-Farhat, Shaahida","Salazar, Jose",51
"al-Farooqui, Saleel","al-Farhat, Shaahida",2
"Yan, Karlina","el-Abbas, Azeeza",5
"Pakpahan, Andrew","el-Abbas, Azeeza",5
"Yan, Karlina","Pakpahan, Andrew",7
"Ortiz, Jesse","el-Aydin, Arhab",19
"el-Aydin, Arhab","Yazzie, Asashia",16
"el-Aydin, Arhab","Tran, Robert",16
"el-Aydin, Arhab","Le, Julianna",33
"Ortiz, Jesse","Tran, Robert",22
"Yazzie, Asashia","Tran, Robert",47
"Le, Julianna","Tran, Robert",42
"Metts, Tia Shaye","Crowell, Anjanet",31
"Ramos, Brianna","Metts, Tia Shaye",40
"Lee, Kevin","Cheek, Nicholas",17
"Cheek, Nicholas","Ward, Deven",15
"Lee, Kevin","Ward, Deven",14
"Prejean, Eugene","Olson, Joylensia",26
"Langcauon, Darlene","Chavarria, Jesse",23
"Cannon, Maya","Guerra, Brandon",19
"Cannon, Maya","Kalkur, Tuyet",35
"Doyle, Kedrick","Smith, Samantha",18
"Carrillo Renteria, Alanna","Doyle, Kedrick",31
"Doyle, Kedrick","Krumel, Tanner",6
"Smith, Samantha","Lewis, Jenae",26
"Lewis, Jenae","Krumel, Tanner",12
"Smith, Samantha","Zhang, Hannah",19
"Zhang, Hannah","Krumel, Tanner",7
"Smith, Samantha","Krumel, Tanner",10
"Carrillo Renteria, Alanna","Lewis, Jenae",45
"Carrillo Renteria, Alanna","Zhang, Hannah",41
"Carrillo Renteria, Alanna","Smith, Samantha",25
"Carrillo Renteria, Alanna","Krumel, Tanner",18
"Longoria, Gilbert","Cole, Alundra",20
"al-Salahuddin, Aseela","el-Vaziri, Raadiya",3
"Alexander, Keyanna","el-Vaziri, Raadiya",3
"Ouch, Christie","Alexander, Keyanna",13
"al-Salahuddin, Aseela","Alexander, Keyanna",2
"Ouch, Christie","el-Vaziri, Raadiya",16
"al-Salahuddin, Aseela","Ouch, Christie",2
"Belser, Darius","Murray, Kaitlyn",32
"Castaneda Garcia, Joel","Pickett, Kolton",9
"Borovskikh, Kyle","Trent, Kayla",10
"Matthews, Wilbert","Dotson, Truman",10
"Yanez-Salinas, Johatam","el-Abdallah, Abeer",2
"Nunez, Veronica","Yanez-Salinas, Johatam",24
"Nunez, Veronica","el-Abdallah, Abeer",2
"Alarid, Elizabeth","Burnsed, Jalen",44
"Dingle, Elissia","Mejia Cabrera, Alejandra",4
"Dingle, Elissia","Anderson, Kentuan",34
"Dingle, Elissia","Herrera, Bianca",7
"Dingle, Elissia","Reed, Stacy",5
"Anderson, Kentuan","Mejia Cabrera, Alejandra",2
"Mejia Cabrera, Alejandra","Herrera, Bianca",15
"Mejia Cabrera, Alejandra","Reed, Stacy",23
"Anderson, Kentuan","Herrera, Bianca",3
"Anderson, Kentuan","Reed, Stacy",3
"Reed, Stacy","Herrera, Bianca",87
"Hampstead, Chase","el-Baccus, Tahaani",10
"Kahsay, Darian","Box, Dean",12
"Juvera, Blanca","Box, Dean",24
"Mace, Shailyn","al-Ahmed, Muzaina",2
"Hairston, Dante","Lieb, Deven",10
"Hairston, Dante","Chavez, Alex",26
"Hairston, Dante","Johnson-Brown, Joshua",10
"Johnson-Brown, Joshua","Lieb, Deven",10
"Johnson-Brown, Joshua","Chavez, Alex",28
"Fierro, Elexis","Clark, Savana",36
"Cummings, Devon","Salansky, Renae",98
"Salansky, Renae","Fyfe, Kendra",6
"Lopez, Joselin","Deshazor, Vanessa",12
"Lopez, Joselin","Moua, Kiara",14
"Belarde, Alejandro","Lim, Parisa",6
"Belarde, Alejandro","el-Qadir, Fawzi",3
"el-Qadir, Fawzi","Lim, Parisa",19
"Belarde, Alejandro","Walston, Montsho",3
"Walston, Montsho","Lim, Parisa",12
"el-Qadir, Fawzi","Walston, Montsho",127
"Kennedy, Quinn","Johnson, Antonio",7
"Schuebel, Nicole","Rascon, Devon",10
"Johnson, Kathryn","Johnson, Kyja",17
"Johnson, Kyja","Mascarenas, Jaquelyn",15
"Ortiz, Harrison","al-Abdul, Adham",77
"Wright, L'Trel","al-Abdul, Adham",11
"Wright, L'Trel","Ortiz, Harrison",9
"Ivan, Mckinzee","Harding, Alana",14
"Ivan, Mckinzee","el-Ayub, Fuaad",2
"Harding, Alana","el-Ayub, Fuaad",1
"Bell, Jessica","Castanon-Banuelos, Breanna",17
"Castanon-Banuelos, Breanna","Mock, Dashick",13
"Matthews, Wilbert","Prado, Trista",61
"Robinson, Marcus","Prado, Trista",22
"Matthews, Wilbert","Robinson, Marcus",27
"Valenzuela-Reynosa, Taina","Hammer, Chandra",52
"al-Idris, Saeed","Valenzuela-Reynosa, Taina",103
"Barree, Olivia","Mai, Jason",8
"Walters, Veronica","Mai, Jason",1
"Oakes, Aaron","Dybdahl, Mariah",122
"el-Akram, Shaheed","Harris, Tysza",1
"Chang, Jose","Sanchez, Luis",26
"Moua, Kiara","al-Saba, Waseem",4
"Alvarez, Michael","Balcom, Neema",7
"Gurrola, Molly","Northrup, Karly",2
"Fitzsimmons, Brandon","Jimenez, Clifford",8
"Bhatt, Savannah","Jimenez, Clifford",6
"Ramirez, Emily","Dunaway, Roman",1
"Blanchard, Twanna","Dunaway, Roman",1
"al-Latif, Shukri","Hubbart, Jeremiah",23
"al-Latif, Shukri","Banks, Jordan",7
"Hubbart, Jeremiah","Banks, Jordan",8
"Zwaan, Macey","Moin, Vincent",36
"Cotton, Morganne","Crowder, Tevis",26
"Downs, Taylor","Cotton, Morganne",27
"Cotton, Morganne","Alexander, Keyanna",23
"Alexander, Keyanna","Crowder, Tevis",8
"Hall, Joseph","Fox, Vincent",8
"Ortiz, Jesse","al-Kamal, Haamida",35
"Alvarez, Michael","al-Kamal, Haamida",24
"Ortiz, Jesse","Alvarez, Michael",44
"Alvarez, Michael","Montoya, Aaron",10
"Montoya, Aaron","al-Kamal, Haamida",42
"Ortega, Jose","Hammond, De'Jour",2
"Payne, Tyler","Sheldon, Audrey",24
"Lopez, Joselin","Few, Rickey",16
"Ortiz, Jesse","Sanchez, Luis",33
"Sanchez, Luis","Lawrence, Kassandra",43
"Anderson, Damion","Chavez, Alex",5
"Mckenzie, Dominique","Chavarria, Jesse",15
"Sayavong, Mariel","Chavarria, Jesse",26
"Kaur, Brandon","Chavarria, Jesse",16
"Howard, Isaac","al-Mostafa, Jeelaan",19
"Holguin-Sanchez, Vinnie","al-Mostafa, Jeelaan",5
"Howard, Isaac","Holguin-Sanchez, Vinnie",20
"al-Hashemi, Muthanna","Mock, Dashick",36
"Jefferson, Christopher","Mahieu, Kaylan",2
"Brough, Landon","Martinez, Aleah",7
"Coleman, Jermie","Perry, Dalton",14
"Miller, Aryn","Blackmore, Aaron",9
"al-Basa, Waneesa","Norwood, Terrell",3
"Peralta, Irving","Herrera, Jesse",8
"Peralta, Irving","Hisel, Keith",48
"Gamboa, Destiny","Peralta, Irving",2
"Myers, Royal","Hisel, Keith",17
"Gamboa, Destiny","Myers, Royal",23
"Herrera, Jesse","Hisel, Keith",8
"Gamboa, Destiny","Herrera, Jesse",2
"Gamboa, Destiny","Hisel, Keith",2
"Song, Kathleen","Chapa, Austin",2
"Song, Kathleen","Nosker, Desiree",2
"Song, Kathleen","Mukes, Marcus",1
"Price, Bria","Nosker, Desiree",6
"Price, Bria","Mukes, Marcus",4
"Mukes, Marcus","Nosker, Desiree",12
"Parker, Destiny","Castaneda Garcia, Joel",88
"Castaneda Garcia, Joel","Nguyen, Oming",53
"Parker, Destiny","Nguyen, Oming",83
"Torres, Victoria","Villarreal, Aaron",31
"Lowe, Aaron","Villarreal, Aaron",36
"Myers, Shkhelley","Villarreal, Aaron",17
"Torres, Victoria","Myers, Shkhelley",39
"Lowe, Aaron","Myers, Shkhelley",30
"el-Jabbour, Sireen","el-Faris, Shafeeqa",32
"Gonzales, Fabian","Maes, Mariah",27
"al-Farhat, Kaarim","Ertelt, Kento",1
"Weber, Stephen","el-Shaheed, Zahra",15
"Lockwood, Derrick","Castaneda Garcia, Joel",22
"Lockwood, Derrick","Fierro, Elexis",71
"Medina, Anthony","al-Azizi, Sabiyya",109
"Thomas, Seth","Ward, Deven",9
"Thomas, Seth","Olson, Joylensia",3
"Olson, Joylensia","Ward, Deven",3
"Thomas, Seth","Anderson, Brandon",1
"Anderson, Brandon","Olson, Joylensia",3
"Carrillo Renteria, Alanna","Gallegos, Hiajaira",22
"al-Jamil, Mu'taz","Mullen III, Alissa",58
"Dintaman, Samuel","Bui, Vidya",1
"Elliott, Hilario","Salomon, Nancy",102
"Elliott, Hilario","el-Sala, Ramza",115
"el-Sala, Ramza","Salomon, Nancy",13
"al-Barakat, Zaidaan","Medina, Jessi",24
"Arou, Reanna","al-Haidar, Salmaan",45
"Kahsay, Darian","Jones, Morris",11
"Jones, Morris","Box, Dean",19
"Crespin, Adrian","James, Alexah",38
"el-Kamali, Nakheel","Ziegler, Anthony",38
"Sajopha, Simran","al-Arif, Naseeba",4
"Brack, Trezen","Sajopha, Simran",15
"Brack, Trezen","al-Arif, Naseeba",20
"el-Mohamed, Shukri","Cannon, Maya",14
"el-Hammad, Saabira","Carrillo, Gustavo",4
"Nguyen, Savanna","el-Ali, Labeeba",56
"al-Yousuf, Fawz","Nguyen, Savanna",200
"Goerner, Rodney","el-Ali, Labeeba",2
"Goerner, Rodney","Nguyen, Savanna",10
"Goerner, Rodney","al-Yousuf, Fawz",10
"Laner, Leonard","Pickett, Kolton",13
"Rosati, Johnathan","Laner, Leonard",13
"Anderson, Kentuan","Pronteau, Mikaela",12
"Ho, Shane","Pronteau, Mikaela",3
"Ho, Shane","Anderson, Kentuan",9
"Gibbs, Juanita","Pronteau, Mikaela",6
"Gibbs, Juanita","Ho, Shane",24
"Gibbs, Juanita","Anderson, Kentuan",35
"Slowman, Ian","Butler Nash, Ijhanea",25
"Slowman, Ian","Morgan, Lacey",17
"Morgan, Lacey","Butler Nash, Ijhanea",49
"el-Bacchus, Khaira","Skaggs, Gage",4
"Curtis, Sage","el-Madani, Imraan",2
"el-Madani, Imraan","Stirgus, Deshay",1
"Curtis, Sage","Stirgus, Deshay",2
"Stirgus, Deshay","Torres, Jaime",1
"el-Madani, Imraan","Torres, Jaime",15
"Curtis, Sage","Torres, Jaime",5
"Reyes Chavez, Ana","Torres, Jaime",15
"Reyes Chavez, Ana","el-Madani, Imraan",11
"Curtis, Sage","Reyes Chavez, Ana",27
"al-Abdul, Umaira","Mitchell, Ekene",7
"Mitchell, Ekene","Newby, Abbygail",18
"Padilla, Oscar","Mitchell, Ekene",28
"Padilla, Oscar","al-Fahmy, Aabid",47
"Padilla, Oscar","Newby, Abbygail",35
"al-Abdul, Umaira","Newby, Abbygail",7
"al-Fahmy, Aabid","Mitchell, Ekene",8
"al-Abdul, Umaira","al-Fahmy, Aabid",35
"al-Fahmy, Aabid","Newby, Abbygail",8
"Cannon, Maya","Williams, Robert",96
"Jarrett, Alexa","Smothermon, Katherine",12
"Williams, Robert","Smothermon, Katherine",2
"Cannon, Maya","Smothermon, Katherine",1
"Vella, Erin","al-Meer, Kabeera",45
"Olivas, Ashley","Vella, Erin",56
"Johns, Denisse","Vella, Erin",84
"Olivas, Ashley","al-Meer, Kabeera",117
"Wilford, Patrick","Salomon, Nancy",87
"al-Kamara, Asmar","Mukes, Marcus",2
"el-Fawaz, Shaheed","el-Dia, Zaamil",11
"Harvey, Brianna","el-Fawaz, Shaheed",13
"el-Radi, Ghuzaila","Young, Deiondre",1
"Mansaray, Rachel","el-Radi, Ghuzaila",8
"Mansaray, Rachel","Young, Deiondre",2
"Williams, Jesse","Khan, Kenneth",4
"Brown, Torrance","Rainy, Kaleb",14
"Brown, Torrance","al-Mian, Sumayya",20
"Brown, Torrance","al-Mohamed, Ghazaala",9
"Rainy, Kaleb","al-Mian, Sumayya",4
"al-Mohamed, Ghazaala","Rainy, Kaleb",20
"Brown, Torrance","Anderson, Damion",29
"Rainy, Kaleb","Anderson, Damion",2
"Anderson, Damion","al-Mian, Sumayya",9
"al-Mohamed, Ghazaala","Anderson, Damion",1
"al-Mohamed, Ghazaala","al-Mian, Sumayya",6
"Richardson, Abdullahi","Joy, Destinee",24
"Joy, Destinee","el-Ayub, Haarith",12
"Hess, Dean","Joy, Destinee",31
"Baker, Andrea","al-Azizi, Sabiyya",67
"Lee, Tony","al-Shariff, Qamraaa",50
"Olivas, Ashley","al-Hakim, Jumail",47
"al-Hakim, Jumail","Elliott, Hilario",27
"al-Naqvi, Sumayya","Taylor, Andy",16
"Johns, Denisse","Taylor, Andy",38
"al-Neman, Saamiqa","el-Jafri, Mahaa",1
"Rodriguez, Gabe","el-Jafri, Mahaa",3
"Rodriguez, Gabe","al-Neman, Saamiqa",2
"Curtis, Sage","al-Basa, Waneesa",12
"Dintaman, Samuel","Curtis, Sage",2
"Summers, Alex","Curtis, Sage",3
"Fischer, Tarron","Curtis, Sage",12
"Dintaman, Samuel","al-Basa, Waneesa",4
"Dintaman, Samuel","Fischer, Tarron",1
"Summers, Alex","al-Basa, Waneesa",5
"Dintaman, Samuel","Summers, Alex",1
"De Fiore, Matthew","Summers, Alex",2
"Fischer, Tarron","Summers, Alex",3
"Ramirez, Emily","al-Basa, Waneesa",55
"Dintaman, Samuel","Ramirez, Emily",1
"Summers, Alex","Ramirez, Emily",2
"Fischer, Tarron","Ramirez, Emily",22
"De Fiore, Matthew","al-Basa, Waneesa",3
"De Fiore, Matthew","Dintaman, Samuel",1
"Garza, Sharon","Laner, Leonard",23
"Mccrimmon, Jake","Garza, Sharon",27
"Dintaman, Samuel","Mccrimmon, Jake",3
"el-Arshad, Aatifa","Mccrimmon, Jake",6
"Dintaman, Samuel","Laner, Leonard",22
"Dintaman, Samuel","Garza, Sharon",3
"el-Arshad, Aatifa","Garza, Sharon",8
"al-Haidar, Salmaan","Doerfler, Michael",22
"Habteyesus, Gabriel","Doerfler, Michael",22
"Habteyesus, Gabriel","al-Haidar, Salmaan",60
"Parker, Taylor","Robertson, Patrick",6
"Lewis, Jenae","Deshazor, Vanessa",36
"Mcgowan, Dominic","Brooks, Cne",3
"Leung, Remy","Natonabah, Jerod",3
"Smith, Thanh","Henderson, Damarius",44
"Smith, Thanh","el-Hai, Aqeela",49
"Wing, Gabriel","el-Mostafa, Nuzha",8
"Barnes, Silvano","al-Younis, Mawhiba",3
"Barnes, Silvano","Angelo, Kaci",3
"Marquez, Luis","Barnes, Silvano",7
"Marquez, Luis","al-Younis, Mawhiba",14
"Marquez, Luis","Angelo, Kaci",31
"Angelo, Kaci","al-Younis, Mawhiba",5
"Dalton, Elisha","Anderson, Kailynn",1
"De Fiore, Matthew","Dalton, Elisha",4
"Esquibel, Danielle","Dalton, Elisha",2
"De Fiore, Matthew","Anderson, Kailynn",4
"Esquibel, Danielle","Anderson, Kailynn",6
"De Fiore, Matthew","Esquibel, Danielle",20
"Harden, Meghan","Elliott, Hilario",5
"Harden, Meghan","al-Salahuddin, Aseela",3
"Harden, Meghan","Taylor, Andy",7
"Harden, Meghan","al-Hakim, Jumail",6
"al-Hakim, Jumail","Aguilar, Sierra",2
"al-Salahuddin, Aseela","al-Hakim, Jumail",1
"al-Hakim, Jumail","Taylor, Andy",43
"Elliott, Hilario","Aguilar, Sierra",3
"al-Salahuddin, Aseela","Aguilar, Sierra",1
"al-Salahuddin, Aseela","Elliott, Hilario",1
"Taylor, Andy","Aguilar, Sierra",23
"Elliott, Hilario","Taylor, Andy",6
"al-Salahuddin, Aseela","Taylor, Andy",1
"Schmer, Logan","Nelson, Garnerick",101
"Perales, Megan","Baca, Jordan",1
"Baca, Jordan","Calder, Jake",46
"Bravo Gutierrez, Randee","Fernandez, Kirstie",9
"Pakpahan, Andrew","Crespin, Adrian",10
"Pakpahan, Andrew","Natonabah, Jerod",22
"Walters, Veronica","Crespin, Adrian",4
"Crespin, Adrian","Natonabah, Jerod",4
"Walters, Veronica","Natonabah, Jerod",4
"Hill, Darrien","Hanson, Berric",8
"Burnsed, Jalen","Munoz, Sara",86
"Union, Quinton","Munoz, Sara",14
"Union, Quinton","Burnsed, Jalen",11
"Yachai, Andrew","Payne, Briana",23
"Wilson, Valerie","Payne, Briana",52
"Madole, Colton","Vasquez, Tanya",37
"Hubbard, Brittany","Sharr, Tanner",3
"Magallanes, Brenda","Sharr, Tanner",10
"Hubbard, Brittany","Magallanes, Brenda",5
"Iritani, The","al-Mian, Sumayya",13
"Barnes, Casey","Avila, Nikki",33
"Edmunds, Kasey","Peralta, Irving",44
"Rascon, Devon","Koch, Victoria",5
"Lloyd, Shelby","Zachareas, Shelby",9
"Lloyd, Shelby","al-Younis, Maazin",26
"Pregnon, Eilish","Yanez Luna, Jose",10
"Yanez Luna, Jose","Martinez, Aleah",12
"Yanez Luna, Jose","al-Ansari, Sumayya",21
"Pregnon, Eilish","Martinez, Aleah",7
"Pregnon, Eilish","al-Ansari, Sumayya",30
"al-Ansari, Sumayya","Martinez, Aleah",8
"Batara, Kyler","Villarreal, Aaron",12
"Lawrence, Kendall","Buchholz, Erin",28
"Lawrence, Kendall","Shine, Zacheriah",2
"Lawrence, Kendall","Cepress-Mclean, Tyler",9
"Buchholz, Erin","Shine, Zacheriah",3
"Buchholz, Erin","Cepress-Mclean, Tyler",16
"Cepress-Mclean, Tyler","Shine, Zacheriah",3
"Guevara, Kelly","Todd, Ashleigh",6
"Herrera, Marissa","Guevara, Kelly",17
"Lee, Tiffany","Guevara, Kelly",9
"Lee, Tiffany","Mckenzie, Darian",2
"Lee, Tiffany","Todd, Ashleigh",9
"Lee, Tiffany","Herrera, Marissa",28
"Guevara, Kelly","Mckenzie, Darian",2
"Mckenzie, Darian","Todd, Ashleigh",5
"Herrera, Marissa","Mckenzie, Darian",2
"Herrera, Marissa","Todd, Ashleigh",11
"Rodriguez-Gomez, Courtney","Bland, Jonah",9
"Gurrola, Molly","Sayavong, Mariel",26
"Longoria, Gilbert","Martin, Lauren",8
"al-Mansoor, Ramalaan","Pride, Shauntaul",12
"Ventura, Desirae","al-Arif, Naseeba",3
"Ventura, Desirae","Speed, Casey",3
"Ventura, Desirae","Richards, Monica",24
"Speed, Casey","al-Arif, Naseeba",10
"Speed, Casey","Richards, Monica",9
"Richards, Monica","al-Arif, Naseeba",3
"el-Bacchus, Khaira","Leiva, Jessica",13
"Parros, Amadou","Hammer, Chandra",7
"Belarde, Alejandro","Parros, Amadou",12
"Belarde, Alejandro","Hammer, Chandra",13
"Few, Rickey","Fisher, Ibashi",4
"Paredes, Antonio","Fisher, Ibashi",3
"al-Naqvi, Sumayya","Dubose, Michaela",38
"Brainard, Shayla","Gessesse, Dante",31
"Phillips, Dakaurey","Brainard, Shayla",30
"Phillips, Dakaurey","Gessesse, Dante",10
"Sayavong, Mariel","Gallegos-Guerrero, Arianna",8
"Hyde, Lindsey","Matheson, Brackin",7
"Johnson, Kathryn","Large, Alberto",3
"el-Baccus, Tahaani","Johnson, Kathryn",4
"Whitlock, Alexandra","el-Molla, Qaaida",13
"Lehman, Shelby","el-Molla, Qaaida",29
"Lehman, Shelby","al-Iqbal, Isaam",7
"Whitlock, Alexandra","Lehman, Shelby",10
"al-Iqbal, Isaam","el-Molla, Qaaida",5
"Whitlock, Alexandra","al-Iqbal, Isaam",23
"Montoya, Aaron","Scaman, Philip",8
"Remillard, Jeremy","Coker, Evan",6
"Remillard, Jeremy","Trujillo, Ruby",6
"Erebia, Efrain","Remillard, Jeremy",9
"Trujillo, Ruby","Coker, Evan",14
"Erebia, Efrain","Trujillo, Ruby",11
"Erebia, Efrain","Coker, Evan",13
"Rentie, Davidray","Mascarenas, Jaquelyn",3
"Nguyen, Julia","Rubio, Talon",8
"Rubio, Talon","Hinton II, Damiane",1
"Carabajal III, Alisha","Rubio, Talon",32
"Carabajal III, Alisha","Nguyen, Julia",6
"Carabajal III, Alisha","Hinton II, Damiane",1
"Nguyen, Julia","Hinton II, Damiane",1
"Union, Quinton","al-Wakim, Aseel",1
"el-Abdallah, Abeer","Kim, Cory",11
"Farris, Micah","Um, Melissa",48
"Romero, Perla","Farris, Micah",6
"Mcgowan, Dominic","Romero, Perla",1
"Romero, Perla","Um, Melissa",13
"Romero, Perla","Garcia, Ashley",1
"Romero, Perla","Cruz Rosalez, Thalia",8
"Farris, Micah","Garcia, Ashley",1
"Mcgowan, Dominic","Garcia, Ashley",43
"Um, Melissa","Garcia, Ashley",2
"Farris, Micah","Cruz Rosalez, Thalia",13
"Mcgowan, Dominic","Cruz Rosalez, Thalia",4
"Um, Melissa","Cruz Rosalez, Thalia",17
"Cruz Rosalez, Thalia","Garcia, Ashley",15
