from,to,n_times
"Qiu, Justin","Little, James",27
"el-Salam, Aasima","Cobarrubias, William",2
"Jimenez, Gabriel","al-Sharif, Raafida",3
"al-Sharif, Raafida","Divecchia, Kimberly",3
"al-Meer, Jaadallah","al-Sharif, Raafida",16
"Jimenez, Gabriel","al-Meer, Jaadallah",3
"al-Meer, Jaadallah","Divecchia, Kimberly",2
"al-Khalaf, Wajeeh","al-Sharif, Raafida",13
"Jumpe, Blake","Wallace, Tyler",2
"Jumpe, Blake","Kikuchi, Nicole",2
"Kikuchi, Nicole","Flores Benitez, Teresa",11
"Tyler, Asia","Flores Benitez, Teresa",8
"Wallace, Tyler","Flores Benitez, Teresa",2
"Jumpe, Blake","Tyler, Asia",3
"Tyler, Asia","Wallace, Tyler",15
"Martinez, Alexandro","Snelling, Peyton",5
"Carson, Rhiannon","Topping, Marva",15
"Khatri, Jasmine","Martinez, Maribel",1
"Berg, Shauntino","Martinez, Maribel",1
"Serrano Cano, Jamecia","Barela, Jackie",20
"Harney, Robyn","Jojola, Summer",3
"Amelkin, Lucas","Booker, Gregory",21
"Craig, Ladon","Booker, Gregory",38
"Kumpf, Jessica","Booker, Gregory",12
"al-Rauf, Unais","Booker, Gregory",58
"Petersen, Megan","Wisham, Addam",6
"Juan, Justin","Lara-Rodriguez, Steven",9
"al-Hamad, Tufail","Juan, Justin",2
"al-Hamad, Tufail","Lara-Rodriguez, Steven",3
"al-Dada, Saahira","Guerrero-Argumedo, Brian",4
"al-Hoque, Nawfa","al-Dada, Saahira",3
"Lewis, Tyrale","Kelly, Adedotun",3
"Dittloff, Patrick","Kelly, Adedotun",8
"Tran, Vanya","Davis, Simran",4
"Davis, Simran","Katamaneni, Emily",4
"Rosales, Mattaio","Belmont, Alex",6
"Belmont, Alex","Gutierrez-Ramirez, Carina",8
"Rosales, Mattaio","Perry, Shay",9
"Perry, Shay","Belmont, Alex",5
"el-Radwan, Hanaaa","Ellis, Chantel",35
"al-Obeid, Zulfa","Lee, Sam",25
"Lindauer, Ariyelle","el-Noori, Hudhaifa",7
"Cordova, Yuri","Lindauer, Ariyelle",2
"Ball, Jacob","Brutout, Cody",3
"Hulstrom, Quadayzia","Ball, Jacob",3
"Sandoval, Ruben","Cereceres, Jay",2
"Sandoval, Ruben","Kida, Jui-Chun",3
"Cereceres, Jay","Woldu, Keiarah",3
"Kida, Jui-Chun","Cereceres, Jay",2
"Kida, Jui-Chun","Woldu, Keiarah",7
"Cain, Dontae","Truong, Sean",5
"Cain, Dontae","Lewis, Andrew",5
"Hopkins, Kiran","Mathis, Rondora",16
"al-Hoque, Nawfa","Hopkins, Kiran",8
"Bufano, Jessica","Fearce, Mario",27
"Bufano, Jessica","Hodges, Lamont",6
"al-Sheikh, Mahmood","Davis, Charlotte",2
"Davis, Charlotte","Kim, Asa",1
"Najera, Steve","Wong, Irena",15
"Najera, Steve","Maldonado, Alan",2
"Najera, Steve","Burton, Kedrick",1
"al-Ghaffari, Mumtaaza","Warren, Brianna",9
"Truitt, Jason","Langston, Tyrae",2
"Truitt, Jason","Lewis, Sydney",2
"Lewis, Sydney","Langston, Tyrae",30
"al-Hamed, Afaaf","Colohan, Garrett",17
"el-Tahir, Jawhar","Colohan, Garrett",17
"Lambright, Allison","Colohan, Garrett",14
"Bass, Matias","Casias, Anastasia",1
"Bass, Matias","Mason, Angel",1
"Elam, Kiah","Mason, Angel",2
"Thamert, Denver","Kuge, Batoul",1
"Thamert, Denver","Elam, Kiah",2
"Alger, Kincaid","Bass, Matias",2
"Alger, Kincaid","Mason, Angel",1
"Thamert, Denver","Alger, Kincaid",9
"Alger, Kincaid","Kuge, Batoul",15
"Kuge, Batoul","Mason, Angel",1
"Casias, Anastasia","Kuge, Batoul",6
"Elam, Kiah","Kuge, Batoul",1
"Elam, Kiah","Bass, Matias",1
"Elam, Kiah","Casias, Anastasia",1
"Romero, Maria","Bass, Matias",18
"Romero, Maria","Mason, Angel",1
"Romero, Maria","Thamert, Denver",5
"Romero, Maria","Casias, Anastasia",1
"Romero, Maria","Kuge, Batoul",1
"Soto, Ghibrian","Nguyen, Sanna",1
"Dittloff, Patrick","Lehi, Angelina",14
"Jun, Jacklyne","Lehi, Angelina",1
"Lewis, Tyrale","Lehi, Angelina",22
"Dittloff, Patrick","Mills, Janice",1
"Jun, Jacklyne","Mills, Janice",1
"Lewis, Tyrale","Mills, Janice",3
"Alford, Emoni","Jordan, Ciera",9
"Sampson, Nicholas","Fredericks, Shalisha",1
"Sampson, Nicholas","Johnson, Parker",5
"Johnson, Parker","Fredericks, Shalisha",1
"Gallegos, Bridgett","Sandoval, Ruben",1
"Casias, Anastasia","Dehn, Deion",2
"Lundberg, Stephanie","Begay, Nathaniel",19
"Jun, Jacklyne","Saddler, Mark",11
"Jun, Jacklyne","Eastman, Brianna",7
"Saddler, Mark","al-Ameen, Rida",7
"Halbert, Ian","Saddler, Mark",8
"Halbert, Ian","Eastman, Brianna",5
"Eastman, Brianna","al-Ameen, Rida",7
"Wilson, Monique","el-Gad, Zahra",1
"Shackelford, Whitney","Wilson, Monique",4
"Casias, Anastasia","Begay, Nathaniel",9
"Begay, Nathaniel","Clark, Kayla",2
"Lai, Christina","Bird, Stephanie",5
"Enlow, Elizabeth","Currington, Alexis",8
"Montoya, Teshia","al-Kazi, Tahiyya",2
"Montoya, Teshia","al-Minhas, Hamna",1
"Montoya, Teshia","Zahid, Tiffany",1
"Montoya, Teshia","Lin, Kathleen",2
"Lin, Kathleen","al-Minhas, Hamna",2
"Lin, Kathleen","Zahid, Tiffany",3
"Lin, Kathleen","Mcnichols, Aidan",6
"Zahid, Tiffany","al-Kazi, Tahiyya",3
"al-Kazi, Tahiyya","Mcnichols, Aidan",27
"al-Minhas, Hamna","Mcnichols, Aidan",5
"Zahid, Tiffany","Mcnichols, Aidan",13
"el-Salam, Aasima","Zakin, Nancy",6
"Dumas, Makayla","el-Salam, Aasima",6
"Dumas, Makayla","Zakin, Nancy",17
"Schlegel, Lindsey","Davis, Keyonna",10
"Qiu, Justin","Schlegel, Lindsey",1
"Qiu, Justin","Davis, Keyonna",1
"Lewis, Tyrale","Tran, Akshat",3
"Lewis, Tyrale","Jackson, Shailah",7
"Thompson, Tylor","Cohen-Wilson, Nataya",3
"Chavarria, Alexander","Elam, Kiah",3
"Kauffmann, Dustin","Strasburger, Andrea",19
"el-Bangura, Taqiyya","Iron Cloud-Gresko, Bradford",1
"el-Bangura, Taqiyya","Temple, Deandre",5
"el-Bangura, Taqiyya","Cereceres, Jay",5
"Temple, Deandre","Iron Cloud-Gresko, Bradford",6
"Cereceres, Jay","Iron Cloud-Gresko, Bradford",5
"Temple, Deandre","Cereceres, Jay",33
"Orgler, T'Aunsanae","Cordova, Randolph",8
"Cordova, Yuri","Cordova, Randolph",1
"Young, John","al-Ishmael, Radwa",1
"Young, John","Hut, Brandon",1
"Young, John","el-Momin, Shaakir",1
"Jones Jr, Lauren","Young, John",1
"al-Omer, Faadi","al-Raad, Amaan",10
"Perez Jr, Francisco","Cummings, Denise",16
"Perez Jr, Francisco","Hoover, Brian",20
"Hoover, Brian","Cummings, Denise",3
"Pak, Lauryn","Cummings, Denise",37
"Williams, Kiara","Ngu, Andrew",3
"el-Sulaiman, Jameela","Williams, Kiara",5
"King, Tyler","Robinson, Brianna",17
"Goens, Jurnee","West, Joseph",31
"Kikuchi, Nicole","Goens, Jurnee",1
"Najera, Steve","Goens, Jurnee",9
"West, Joseph","Wong, Irena",12
"Kikuchi, Nicole","Wong, Irena",2
"Kikuchi, Nicole","West, Joseph",1
"Garcia, Ricardo","Nordby, Christian",3
"Jacket, Brianna","Garcia, Ricardo",1
"Jacket, Brianna","Nordby, Christian",1
"Belden, Kaylina","Butler-Fulbright, Milo",9
"Gonzalez, Yurivet","Butler-Fulbright, Milo",19
"Butler-Fulbright, Milo","Tsegay, Brandon",7
"Belden, Kaylina","Tsegay, Brandon",4
"Gonzalez, Yurivet","Tsegay, Brandon",6
"Chipman, Jessica","Tsegay, Brandon",18
"Chipman, Jessica","Butler-Fulbright, Milo",31
"el-Ayoub, Abyad","Garcia, Shaana",1
"Khuu, Mehal","Garcia, Shaana",1
"Norris, Savannah","Garcia, Shaana",3
"Walker, Michael","Fogg, Alangkrita",3
"Gosz, Lisa","Pham, Kanya",4
"Pham, Kanya","Doyle, Elise",4
"Griffin, Morgan","Saqib, Adam",13
"Espinosa, Isabella","al-Samaan, Ayyoob",24
"Green, Adrien","Plane, Devin",1
"Green, Adrien","Rodasta, Jessica",1
"Rosser, Jay","Plane, Devin",1
"al-Dada, Saahira","Plane, Devin",1
"al-Dada, Saahira","Rodasta, Jessica",1
"Rosser, Jay","Rodasta, Jessica",1
"Lewis, Tyrale","al-Minhas, Arafaat",32
"Lewis, Tyrale","Shoels, Brittany",14
"Gallegos, Bridgett","Mckune, Austin",20
"Gallegos, Bridgett","al-Minhas, Arafaat",3
"Gallegos, Bridgett","Shoels, Brittany",5
"Lewis, Tyrale","Gallegos, Bridgett",27
"Gallegos, Bridgett","Gomez, Adrianne",47
"Kida, Jui-Chun","Young, Ashleigh",2
"Davis, Charlotte","Zahir, Sunya",1
"Davis, Charlotte","Romero, April",2
"Davis, Charlotte","Chapman, Khanh",20
"al-Darwish, Ibtisaama","Grainda, Kaylina",7
"Dureja, Regina","Hinojos Orozco, Elvia",1
"Pham, Anh","Dureja, Regina",2
"Pham, Anh","Hinojos Orozco, Elvia",1
"Campos, Tanisha","Hintz, Casey",1
"Williams, Jethary","Divecchia, Kimberly",1
"Burdick, Tysza","Williams, Jethary",2
"Burdick, Tysza","Divecchia, Kimberly",3
"Jones, Savannah","Iron Cloud-Gresko, Bradford",13
"Deleon, Brianna","Jones, Savannah",6
"el-Hassen, Faisal","Plane, Devin",1
"el-Hassen, Faisal","Johnson, Parker",1
"el-Hassen, Faisal","Okita, Mark",1
"el-Hassen, Faisal","Kida, Jui-Chun",7
"Kida, Jui-Chun","Plane, Devin",2
"al-Kaleel, Nassaar","Soto, Ghibrian",18
"el-Pasha, Abdul Baari","Soto, Ghibrian",9
"al-Dada, Saahira","Leal-Lopez, Shauntasia",10
"al-Dada, Saahira","el-Jaber, Fat'hiyaa",9
"Deleon, Brianna","Leal-Lopez, Shauntasia",3
"Deleon, Brianna","el-Jaber, Fat'hiyaa",5
"Smith, Phoebe","Lopez-Silerio, Elijah",14
"Curtis, Charles","Basquez, Alicia",1
"Stevens, Dana","Silverston, Michaela",11
"Jackson, Shailah","Nguyen, Michael",3
"Young, Ashleigh","Molock-Sanders, Eustace",10
"Thamert, Denver","Molock-Sanders, Eustace",5
"Gandy, Austin","Young, Ashleigh",7
"Thamert, Denver","Gandy, Austin",4
"Thamert, Denver","Young, Ashleigh",7
"Lin, Kathleen","Braxton, Dajanae",1
"Lin, Kathleen","Neuwirth, Whitney",1
"Reese, Jordyn","Beck, Brandon",14
"al-Tamer, Kamaaluddeen","Wright, Evan",26
"el-Hussain, Saalih","Chu, Joann",2
"Natonabah, Amber","el-Hussain, Saalih",3
"Sandoval, Ruben","el-Hussain, Saalih",5
"Jackson, Shailah","el-Reza, Sahla",19
"Hysell, Evie","Morris, Mattiea",19
"el-Allee, Nizaam","Hysell, Evie",15
"el-Allee, Nizaam","Caruso, Kayla",10
"Morris, Mattiea","Caruso, Kayla",14
"Fransua, Meghan","Porter, Jade",1
"el-Kaber, Naaila","Merrow, Kassandra",7
"Sanchez, Llanely","el-Kaber, Naaila",27
"Sanchez, Llanely","Merrow, Kassandra",7
"Neuwirth, Whitney","Sanchez, Llanely",7
"Neuwirth, Whitney","Merrow, Kassandra",5
"Nowalk Jr, Alicia","al-Shad, Shaqeeq",23
"Khuu, Mehal","Nowalk Jr, Alicia",27
"Loughridge, Jesse","Basquez, Alicia",1
"Loughridge, Jesse","Kida, Jui-Chun",2
"Okita, Mark","Walton, Airel",8
"Emert, Taylor","Bufano, Jessica",4
"Kikuchi, Nicole","Garcia, Austin",18
"Villarreal, Jazmin","Benitez-Reyes, Christopher",1
"el-Abdella, Kaarim","Wright, Evan",49
"Wright, Evan","Tran, Akshat",20
"Raposa, Dominique","Litwin, Michael",2
"Peppo, Kevin","Vital, Salvador",8
"Vital, Salvador","al-Dawood, Shawqi",9
"Peppo, Kevin","al-Dawood, Shawqi",1
"Xanoubane, Alexandra","Williams, Jared",8
"Allison, Garrett","al-Minhas, Arafaat",3
"Nunez, Erick","Amelkin, Lucas",1
"Brown, Bria","Ortiz, Joshua",1
"Fernandez, Dameion","Brown, Bria",1
"Phenna, Rocky","Ortiz, Joshua",1
"Fernandez, Dameion","Phenna, Rocky",2
"Phenna, Rocky","Brown, Bria",10
"Santistevan, Miranda","Modi, Marielle",13
"Santistevan, Miranda","Iron Cloud-Gresko, Bradford",15
"Gonzalez Lopez, Jessie","Garrett, Kayla",5
"Emert, Taylor","el-Koroma, Nabeela",14
"el-Younes, Ameena","Topping, Marva",1
"al-Omer, Faadi","Lewis, Sydney",21
"Romero, Maria","al-Omer, Faadi",19
"Romero, Maria","Lewis, Sydney",5
"Jun, Jacklyne","al-Kazi, Tahiyya",13
"Emert, Taylor","Jun, Jacklyne",7
"Jun, Jacklyne","Bell, Travon",8
"Mock, Geniveve","el-Jan, Mahmooda",6
"Barron, Kindra","Woldu, Keiarah",3
"Curtis, Charles","Cobarrubias, William",3
"Cobarrubias, William","Verbonitz, Connie",1
"Moore, Damarius","Lewis, Anisa",16
"Norris, Savannah","Chism, Tanisha",4
"Norris, Savannah","Bivins, Shapprrea",2
"Sewald, Jason","Norris, Savannah",3
"Sewald, Jason","Bivins, Shapprrea",22
"Sewald, Jason","Chism, Tanisha",7
"Gandy, Austin","al-Ameen, Rida",1
"Gandy, Austin","al-Darwish, Ibtisaama",7
"el-Kaber, Naaila","Rodgers, Claire",3
"el-Kaber, Naaila","Mata Gutierrez, Jose",8
"Snyder, Steven","el-Kaber, Naaila",5
"el-Kaber, Naaila","Woodard, Zacharee",4
"Pritchett, Erin","Rodgers, Claire",8
"Rodgers, Claire","Mata Gutierrez, Jose",10
"Snyder, Steven","Mata Gutierrez, Jose",5
"Woodard, Zacharee","Mata Gutierrez, Jose",3
"Dow Babycos, Sabrina","Smith, Cassidy",16
"Baldassare, Brianna","Dow Babycos, Sabrina",15
"Dow Babycos, Sabrina","al-Shafi, Noora",34
"Bron, Maranda","Lopez-Silerio, Elijah",5
"al-Idris, Fakeeha","Lundberg, Stephanie",6
"Gilbert, Chandel","An, William",6
"Weaver, Steven","Rosales, Mattaio",1
"al-Obeid, Zulfa","Weaver, Steven",4
"al-Obeid, Zulfa","Gutierrez-Ramirez, Carina",1
"al-Obeid, Zulfa","Rosales, Mattaio",1
"Lacy, Justin","al-Obeid, Zulfa",8
"Lacy, Justin","Rosales, Mattaio",1
"Romero, Maria","al-Shaheed, Haala",4
"Fischer, Megan","Orona, Elario",7
"Lobatos Sanchez, Miguel","Mckune, Austin",13
"Weed, Jackie","Mabry, Jaylen",15
"Pfingsten, Chanthany","Pace, Justin",1
"el-Radwan, Hanaaa","Sarsam, Michael",28
"Sarsam, Michael","Grohman, Shelby",25
"Davis, Charlotte","Kang, Mreenal",3
"Dow Babycos, Sabrina","Kang, Mreenal",1
"Davis, Charlotte","el-Jabara, Tareef",17
"Davis, Charlotte","Dow Babycos, Sabrina",17
"Brave, Howard","Kumagai, Gabriel",5
"Ellis, Chantel","Griffin, Ian",20
"Ellis, Chantel","al-Rad, Kulthum",2
"Griffin, Ian","al-Rad, Kulthum",3
"al-Ghazi, Mawzoona","Santiago, Hana",7
"Gallegos, Bridgett","al-Ghazi, Mawzoona",5
"al-Ghazi, Mawzoona","el-Mansoor, Ibrahim",1
"el-Bangura, Taqiyya","al-Samaan, Ayyoob",1
"Brown, Mollie","al-Samaan, Ayyoob",4
"Garnier, Leroy","Gutierrez-Ramirez, Carina",8
"Romero, April","Slofkiss, Riley",47
"Reed, Kiana","Pfingsten, Chanthany",5
"al-Khalid, Jihaad","Pfingsten, Chanthany",2
"al-Khalid, Jihaad","Reed, Kiana",1
"Reed, Kiana","Braxton, Dajanae",2
"Pham, Anh","Montgomery, Alicia",3
"Pham, Anh","Pace, Justin",1
"Pham, Anh","Plane, Devin",1
"Montgomery, Alicia","Pace, Justin",1
"Montgomery, Alicia","Plane, Devin",1
"Navajo, Sage","Mosher, Blake",15
"Lor, Brendan","Jackson, Sade",20
"el-Abood, Hissa","Woodrum, Christopher",21
"el-Hashim, Shafee'a","Woodrum, Christopher",9
"Clifton, Nico","Woodrum, Christopher",8
"el-Abood, Hissa","Clifton, Nico",3
"al-Hashmi, Hafsa","Clifton, Nico",8
"Clifton, Nico","el-Hashim, Shafee'a",6
"Romero, April","Sanchez, Llanely",6
"Romero, April","Merrow, Kassandra",4
"al-Abdi, Sahar","el-Javid, Sabaaha",21
"Jacket, Brianna","Gutierrez, Jay",5
"Anderson, Eva","Carter, Joshua",1
"el-Mansoor, Ibrahim","Hill, Alyssa",8
"Gallegos, Bridgett","Le, Melanie",13
"Gallegos, Bridgett","al-Shafi, Noora",3
"al-Salih, Zakariyya","al-Shafi, Noora",1
"Rickett, Matthew","Ishizuki, Gurjot",6
"Rickett, Matthew","Porter, Jade",3
"Ishizuki, Gurjot","Porter, Jade",1
"Rhinehart, Eve","Porter, Jade",1
"el-Rashed, Yusri","Porter, Jade",1
"el-Mostafa, Unais","Porter, Jade",1
"Rickett, Matthew","Rhinehart, Eve",2
"Rhinehart, Eve","Ishizuki, Gurjot",1
"Rhinehart, Eve","el-Rashed, Yusri",1
"Rhinehart, Eve","el-Mostafa, Unais",1
"Rickett, Matthew","el-Rashed, Yusri",2
"Ishizuki, Gurjot","el-Rashed, Yusri",1
"el-Rashed, Yusri","el-Mostafa, Unais",4
"Rickett, Matthew","el-Mostafa, Unais",1
"Ishizuki, Gurjot","el-Mostafa, Unais",1
"Blackburn, Marlon","Sampson, Nicholas",11
"Castillo, Brenda","Bustos, Tony",2
"An, William","Castillo, Brenda",5
"An, William","Bustos, Tony",2
"Monroy, Mayra","Goens, Jurnee",5
"Najera, Steve","al-Rad, Kulthum",1
"Najera, Steve","Monroy, Mayra",2
"Monroy, Mayra","al-Rad, Kulthum",5
"Espinosa Ramirez, Jesus","Monroy, Mayra",5
"Monroy, Mayra","West, Joseph",6
"Wong, Irena","al-Rad, Kulthum",1
"Davis, Simran","al-Haidar, Nazmiyya",6
"Jenkins, Mauriel","Hernandez, Gabriela",1
"Sloan, Taylor","Santiago, Hana",3
"Lewis, Tyrale","Sloan, Taylor",5
"Sloan, Taylor","Dittloff, Patrick",4
"Burns, Christopher","el-Sinai, Husaam",1
"Sims, Alexandrea","Burns, Christopher",1
"Kuge, Girishkumar","Zahid, Tiffany",6
"Flores, Jesus","al-Chahine, Raabiya",12
"Flores, Jesus","Galvan, Luis",5
"Evans, Nahom","Flores, Jesus",10
"Chu, Joann","Grainda, Kaylina",1
"al-Sheikh, Mahmood","Hintz, Casey",1
"Chu, Joann","Mckay, Samuel",5
"Bennett, Jared","Butcher, Kolten",24
"Alvarez-Martinon, Jesenia","Jackson, Robert",16
"Baldassare, Brianna","Parker, Megan",23
"Smith, Cassidy","Parker, Megan",25
"al-Zaidi, Haniyya","Roda, Randy",2
"Chang, Julian","al-Zaidi, Haniyya",3
"Chang, Julian","Roda, Randy",4
"Harrison, Randi","Fuentes, Hector",7
"Palma, Carmen","Harrison, Randi",8
"Harrison, Randi","el-Ashraf, Humaira",5
"Otey, Jordan","el-Ashraf, Humaira",7
"Palma, Carmen","el-Ashraf, Humaira",16
"Mansurabadi, Donovan","Harrison, Randi",3
"Mansurabadi, Donovan","el-Ashraf, Humaira",11
"Mansurabadi, Donovan","Fuentes, Hector",1
"Otey, Jordan","Fuentes, Hector",1
"Palma, Carmen","Fuentes, Hector",3
"Gibbs, De Ja","Smith, Jensen",2
"Larson, Jordan","Smith, Jensen",3
"Larson, Jordan","Gibbs, De Ja",3
"Morin, Mitchell","al-Akbari, Fawzaana",8
"Herndon, Lawrence","Buehler, Brandon",12
"Williams, Jeremy","Venn, Marissa",7
"Thamert, Denver","Hill, Jasmine",44
"Thamert, Denver","Burns, Christopher",17
"Vigil, Scheridan","Hill, Jasmine",49
"Vigil, Scheridan","Burns, Christopher",31
"Vigil, Scheridan","Brazeal-Gartner, Andrew",20
"Mccay, Colby","Zabalza, Maria",11
"Lopez-Silerio, Elijah","Lewis, Anisa",14
"Rodriguez, Alvaro","Grimm, Thomas",8
"Mameda, Bristi","Archuleta, Benjamin",21
"Archuleta, Benjamin","Seiler, Shelby",7
"Martinez, Eduardo","Archuleta, Benjamin",12
"Mameda, Bristi","Seiler, Shelby",34
"Martinez, Eduardo","Mameda, Bristi",17
"Deleon, Brianna","el-Bangura, Taqiyya",2
"el-Bangura, Taqiyya","Thorne, Zakkary",3
"el-Younes, Ameena","el-Bangura, Taqiyya",8
"el-Bangura, Taqiyya","el-Noori, Hudhaifa",20
"Deleon, Brianna","Knighten, Ashanafe",2
"Deleon, Brianna","Thorne, Zakkary",2
"Deleon, Brianna","el-Younes, Ameena",1
"Deleon, Brianna","el-Noori, Hudhaifa",2
"el-Younes, Ameena","Thorne, Zakkary",1
"el-Noori, Hudhaifa","Thorne, Zakkary",7
"el-Jafari, Jannat","Gonzalez Lopez, Jessie",18
"el-Jafari, Jannat","al-Shafi, Noora",6
"Miller, Michael","Gonzalez Lopez, Jessie",13
"Gonzalez Lopez, Jessie","al-Shafi, Noora",9
"Miller, Michael","al-Shafi, Noora",3
"el-Jafari, Jannat","Garrett, Kayla",5
"al-Shafi, Noora","Garrett, Kayla",15
"Miller, Michael","Garrett, Kayla",4
"Mcnichols, Aidan","el-Huq, Badri",32
"Jones, Savannah","el-Majid, Shakoora",4
"Juarez, Bianca","Jones, Savannah",4
"Romero, Maria","Babcock, Brittany",2
"al-Matar, Ariyya","Villarreal, Jazmin",1
"Cordova, Henry","Villarreal, Jazmin",4
"Garcia, Taylor","Villarreal, Jazmin",1
"al-Omer, Faadi","Durham, Adam",4
"Madrid, Alberto","Salido, Billye",10
"al-Omer, Faadi","Salido, Billye",2
"al-Omer, Faadi","Madrid, Alberto",2
"Jones, Jordan","Ransom, Mequila",24
"Litwin, Michael","Nichols, Rudolph",2
"Temple, Deandre","Hamlet, Richard",12
"Snowhawk, Brandon","Hamlet, Richard",4
"Weincek, Zack","Cordova, Randolph",2
"Green, Adrien","Cordova, Randolph",6
"Weincek, Zack","Green, Adrien",2
"Lingen, Will","al-Younis, Zaghlool",4
"el-Rahimi, Afeef","Lopez-Silerio, Elijah",18
"al-Rahmani, Neeshaan","Parker, Megan",13
"al-Rahmani, Neeshaan","Martinez, Maribel",29
"Palma, Carmen","Leal-Lopez, Shauntasia",1
"Gallegos, Bridgett","Hurst, Katelyn",12
"Rice, Katrina","Harget, Kayla",1
"Rice, Katrina","Alger, Kincaid",2
"Alger, Kincaid","Harget, Kayla",53
"Hill, Jasmine","Harget, Kayla",2
"Vigil, Roman","Harget, Kayla",13
"Dodson, Blake","Carter, Joshua",4
"Dodson, Blake","Netsanet, Armound",7
"Chu, Joann","Carter, Joshua",6
"Chu, Joann","Netsanet, Armound",7
"Knighten, Ashanafe","Hernandez, Gabriela",10
"al-Hamed, Afaaf","King, Elizabeth",5
"Guerrero-Argumedo, Brian","Schlegel, Lindsey",29
"Schlegel, Lindsey","Ortega, Brandon",109
"Long, Destiny","King, Kyle",12
"el-Sulaiman, Jameela","Kim, Alimansar",4
"el-Sulaiman, Jameela","Colohan, Garrett",4
"Clark, Kayla","Thorne, Zakkary",8
"al-Hoque, Nawfa","Clark, Kayla",4
"al-Hoque, Nawfa","Thorne, Zakkary",4
"Harkay, Benjamin","Clark, Kayla",9
"Harkay, Benjamin","Thorne, Zakkary",8
"Alger, Kincaid","Thorne, Zakkary",4
"al-Hoque, Nawfa","Alger, Kincaid",5
"Harkay, Benjamin","Alger, Kincaid",18
"al-Neman, Baasim","al-Darwish, Ibtisaama",5
"Chipman, Jessica","al-Darwish, Ibtisaama",3
"Lacy, Justin","Lundberg, Stephanie",2
"Lacy, Justin","Lor, Janice",3
"Harkay, Benjamin","Lacy, Justin",3
"Lacy, Justin","Walton, Airel",12
"Harkay, Benjamin","Walton, Airel",12
"Woodrum, Christopher","Hardin, Julian",1
"Smith, Tyler","al-Ishmael, Radwa",20
"Roberts, Jennifer","Fransua, Meghan",12
"Estrada, Alexandrea","Murphy, Jacob",4
"Rin, Cody","Lor, Sam",2
"Rin, Cody","Warren, Brianna",7
"Rin, Cody","Ellis, Chantel",5
"Rin, Cody","el-Mansour, Badri",8
"el-Mansour, Badri","Lor, Sam",27
"el-Mansour, Badri","Ellis, Chantel",2
"Lor, Sam","Warren, Brianna",3
"Lor, Sam","Ellis, Chantel",1
"Ellis, Chantel","Warren, Brianna",2
"Gonzalez, Yurivet","Dong, Michelle",4
"Nunez, Erick","Grohman, Shelby",7
"Nunez, Erick","Langston, Tyrae",12
"Nunez, Erick","Hintz, Casey",10
"Nunez, Erick","el-Radwan, Hanaaa",20
"Hintz, Casey","Grohman, Shelby",10
"Hintz, Casey","Langston, Tyrae",5
"el-Radwan, Hanaaa","Langston, Tyrae",8
"Aguilera, Xavier","Elam, Kiah",9
"al-Siddiqi, Raabia","Orgler, T'Aunsanae",34
"Rocha, Benjamin","Thornburg, Antonio",1
"el-Momin, Burhaan","Smith, Jensen",1
"Natonabah, Amber","el-Momin, Burhaan",1
"Rosser, Jay","el-Momin, Burhaan",1
"Romero, Maria","el-Momin, Burhaan",2
"Boll, Jeffery","el-Momin, Burhaan",1
"al-Jabbar, Maahir","el-Anwar, Naseera",11
"Dittloff, Patrick","al-Jabbar, Maahir",23
"Andrews, Carmen","al-Azer, Warda",2
"Snyder, Steven","Dye, David",27
"Hodges, Alexander","el-Younes, Ameena",13
"el-Hussain, Raaniya","el-Abed, Hissa",11
"Sloan, Taylor","el-Hussain, Raaniya",2
"Sloan, Taylor","el-Abed, Hissa",18
"Mercurio, Aaron","Layden, Robert",4
"Furman, Dylan","Stodden, Kelsey",9
"Rivera, Thomas","Lugenbeel, Fredlyn",1
"al-Matar, Ariyya","Mosher, Blake",1
"al-Matar, Ariyya","Tucker, Courtney",7
"Tucker, Courtney","Mosher, Blake",1
"Tucker, Courtney","Brutout, Cody",5
"Brutout, Cody","Mosher, Blake",1
"Dalke, Emily","Durham, Adam",5
"Hinojos Orozco, Elvia","Duong, Ryan",3
"Little, James","Gibbs, De Ja",1
"Qiu, Justin","Gibbs, De Ja",1
"Brickens, Olivia","el-Javid, Sabaaha",3
"Begaye, Sierra","Jones, Cade",2
"Begaye, Sierra","al-Younis, Zaghlool",2
"Downs, Christian","Nowalk Jr, Alicia",1
"Greene, Ladezhane","el-Aboud, Haafiza",2
"Greene, Ladezhane","Wang, Guang",2
"Alvarez-Martinon, Jesenia","al-Alam, Firdaus",16
"el-Begum, Haaniya","al-Alam, Firdaus",42
"Harrison, Randi","al-Alam, Firdaus",6
"Gonzalez, Yurivet","Petty, Ciara",3
"Montoya, Zachary","Johnson, Parker",10
"Smith, Tanaya","el-Kaiser, Sulama",9
"Chanthavongsa, Emily","Flores Diaz, Melissa",7
"Nunez, Erick","Chanthavongsa, Emily",9
"Arapahoe, Lauren","Chanthavongsa, Emily",1
"Jackson, Shailah","Chanthavongsa, Emily",2
"Chanthavongsa, Emily","Ackah Yensu, Brandi",4
"Chanthavongsa, Emily","Amelkin, Lucas",2
"Amelkin, Lucas","Flores Diaz, Melissa",1
"Jackson, Shailah","Amelkin, Lucas",1
"Amelkin, Lucas","Ackah Yensu, Brandi",1
"Nunez, Erick","Flores Diaz, Melissa",2
"Arapahoe, Lauren","Nunez, Erick",1
